EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
33PD19950107,Palmer LTER - NSF,19950208,Raymond C. Smith,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD95-01, pd9501",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19960108,Palmer LTER - NSF,19960210,Maria Vernet,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD96-01, pd9601",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19970111,Palmer LTER - NSF,19970213,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD97-01, pd9701",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33RR19971020,Woods Hole Oceanographic Instritution,19971124,Timothy Cowles,JGOFS,,NA,rr_6; KIWI06,33RR19971020_prof,,33RR19971020_pig_hplc; 33RR19971020_pig_fluor,33RR19971020_poc
33RR19971202,Woods Hole Oceanographic Instritution,19980103,Richard Barber,JGOFS,,,rr_7; KIWI07,Morrison 2001,,Smith 2001 ; Goericke 2001,Smith 2001
33RR19980108,Woods Hole Oceanographic Instritution,19980208,Kenneth Coale,JGOFS,,,rr_8; KIWI08,Morrison 2001,,Smith 2001 ; Goericke 2001,Smith 2001
33RR19980213,Woods Hole Oceanographic Instritution,19980319,Wilford Gardner,JGOFS,,,rr_9; KIWI09,Morrison 2001,,Smith 2001 ; Goericke 2001,Smith 2001
33RR20020105,MBARI,20020214,Kenneth Johnson,SOFeX,,NA,DRFT08RR,33RR20020105_prof,,33RR20020105_pig; 33RR20020105_fluor,33RR20020105_poc
33RR20050120, Woods Hole Oceanographic Instituion,20050219,Bernadette M. Sloyan; Jim Swift,CCHDO,,,ZHNG02RR; 33RR200501,,,,
33RR20070204,Scripps Institute of Oceanography,20070317,Jim Swift; Annie Wong,CCHDO,,,KNOX03RR,,,,
33RR20080204,Florida State University,20080317,Kevin G. Speer; Thomas Dittmar,CCHDO,,33RR20080204_report,KNOX14RR,33RR20080204_prof,33RR20080204_uwy,CLIVAR,CLIVAR
33RR20160208,Scripps Institute of Oceanography,20160306,Alison Macdonald,CCHDO,,33RR20160208_report,,33RR20160208_prof,33RR20160208_uwy,SOCCOM_pig; CLIVAR,
353L20021015,Australian Antarctic Division,20021104,Simon Wright,https://secure3.aad.gov.au/public/schedules/voyage.cfm?season=0203,,,AS0203R0,,McMinn 2011,Wright 2013,
